epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,150.393,0.78347,3.86752,0.24697,1.25667,1.07225,0.01083,0.92857,0.3963,0.20914,0.00417,0.35714,0.16027,0.04703,1.80838,7.8591,0.5202,2.92753,2.01988,0.000413568,0.000413568,0.000413568
74,152.511,0.72748,3.22484,0.37204,1.25852,1.02656,0.01083,0.92857,0.3963,0.20914,0.00417,0.35714,0.16027,0.04703,1.80838,7.8591,0.5202,2.92753,2.01988,0.000404858,0.000404858,0.000404858
75,154.708,0.94224,2.31007,0.19767,1.5898,1.21247,0.01049,0.85714,0.42399,0.21359,0.00437,0.35714,0.15972,0.06107,1.82423,7.92533,0.49658,2.85812,2.02175,0.000395752,0.000395752,0.000395752
76,156.642,0.76434,2.60586,0.30756,1.1688,0.9991,0.01049,0.85714,0.42399,0.21359,0.00437,0.35714,0.15972,0.06107,1.82423,7.92533,0.49658,2.85812,2.02175,0.00038625,0.00038625,0.00038625
77,158.673,0.63535,2.31107,0.34837,1.18128,0.97844,0.01049,0.85714,0.42399,0.21359,0.00437,0.35714,0.15972,0.06107,1.82423,7.92533,0.49658,2.85812,2.02175,0.000376352,0.000376352,0.000376352
78,160.728,0.72991,3.46021,0.31226,1.15845,1.00428,0.01563,0.64286,0.47603,0.24926,0.00868,0.35714,0.161,0.06782,1.85452,8.04693,0.50664,2.83346,2.00054,0.000366058,0.000366058,0.000366058
79,162.734,1.1437,3.70863,0.25755,1.36502,1.17716,0.01563,0.64286,0.47603,0.24926,0.00868,0.35714,0.161,0.06782,1.85452,8.04693,0.50664,2.83346,2.00054,0.000355368,0.000355368,0.000355368
80,164.748,0.82643,2.05094,0.26328,1.13152,0.98772,0.01563,0.64286,0.47603,0.24926,0.00868,0.35714,0.161,0.06782,1.85452,8.04693,0.50664,2.83346,2.00054,0.000344282,0.000344282,0.000344282
81,166.828,0.844,2.01489,0.36484,1.1302,1.12776,0.30157,0.57143,0.5289,0.24399,0.11309,0.21429,0.15406,0.07418,1.85537,8.07426,0.51094,2.86728,1.97525,0.0003328,0.0003328,0.0003328
82,169.053,0.79923,1.44873,0.23853,1.12418,1.02358,0.30157,0.57143,0.5289,0.24399,0.11309,0.21429,0.15406,0.07418,1.85537,8.07426,0.51094,2.86728,1.97525,0.000320922,0.000320922,0.000320922
83,171.14,0.69992,2.37511,0.24839,1.34466,0.95718,0.30157,0.57143,0.5289,0.24399,0.11309,0.21429,0.15406,0.07418,1.85537,8.07426,0.51094,2.86728,1.97525,0.000308648,0.000308648,0.000308648
84,173.305,0.8711,2.39112,0.27612,1.22298,1.14189,1,0.21307,0.62013,0.25366,0.67233,0.14286,0.16507,0.07555,1.86927,8.01065,0.50213,2.85475,2.00659,0.000295978,0.000295978,0.000295978
